Simulation,SimulatedNNDISLoss
492,7554.209294
493,3044.470026
494,0
495,0
496,0
497,1082.971284
498,0
499,0
500,0
501,2395.182485
502,1987.939479
503,1411.329989
504,578.5876547
505,2141.419654
506,161.1885269
507,526.3061145
508,763.7265881
509,1516.518245
510,0
511,3710.801019
512,0
513,6685.709655
514,0
515,5931.121165
516,0
517,5142.385824
518,0
519,1420.374178
520,0
521,0
522,0
523,1064.691952
524,724.8227208
525,628.5747641
526,1359.453892
527,145.9716516
528,423.6454979
529,4659.177076
530,2144.552539
531,6430.163102
532,0
533,0
534,1516.687144
535,0
536,0
537,2438.075616
538,1442.890872
539,3305.299525
540,4908.501684
541,2217.595393
542,590.9811503
543,4187.482997
544,0
545,5467.447395
546,4486.408171
547,3474.059133
548,0
549,1534.858578
550,1058.260245
551,0
552,1149.527077
553,0
554,0
555,2282.478309
556,153.590587
557,0
558,2952.819852
559,0
560,1573.749999
561,3276.897543
562,0
563,0
564,0
565,0
566,0
567,3069.289717
568,0
569,1058.10377
570,5888.233236
571,2612.181079
572,2321.851477
573,0
574,1444.644268
575,1927.429707
576,0
577,0
578,2130.623523
579,2754.476843
580,0
581,4270.321106
582,0
583,752.1829908
584,3417.031522
585,552.4129283
586,0
587,1193.764286
588,1848.697274
589,3249.647064
590,4589.750013
591,2368.709823
592,0
593,787.2432531
594,1588.014467
595,0
596,743.4221833
597,966.9589531
598,0
599,0
600,3589.201424
601,1013.929303
602,5564.450133
603,2040.618416
604,2355.855934
605,0
606,0
607,0
608,0
609,0
610,0
611,978.4813495
612,1228.201302
613,0
614,744.3653817
615,0
616,187.8885159
617,0
618,0
619,234.8913665
620,431.2551231
621,2326.811805
622,0
623,649.561996
624,0
625,0
626,1515.603712
627,1227.470271
628,398.4195392
629,0
630,0
631,1070.933689
632,428.5042563
633,0
634,0
635,2423.411521
636,1436.60759
637,3169.55265
638,363.0664058
639,0
640,0
641,1072.648857
642,3678.88245
643,0
644,2174.764707
645,0
646,1156.39315
647,1275.413061
648,4889.487382
649,0
650,6770.965497
651,0
652,463.8017805
653,0
654,1905.0267
655,967.7585844
656,0
657,4925.816514
658,1469.967055
659,200.5774855
660,109.6673961
661,710.3429556
662,5308.887725
663,16.11507004
664,1379.689227
665,2193.712476
666,0
667,262.2681672
668,1676.929427
669,0
670,1091.693427
671,0
672,1220.356178
673,0
674,0
675,0
676,3216.516441
677,0
678,850.804997
679,0
680,0
681,0
682,0
683,636.7048707
684,1477.097479
685,334.826714
686,3573.31524
687,421.0901421
688,1114.008246
689,0
690,384.3477754
691,0
692,918.6627619
693,0
694,0
695,0
696,2169.186149
697,0
698,1315.40893
699,2953.597043
700,0
701,132.6145886
702,946.7016309
703,0
704,3099.954278
705,2965.539031
706,779.4749175
707,1610.962003
708,274.8064683
709,1034.134372
710,1271.268358
711,0
712,679.1114272
713,0
714,3411.740726
715,4156.745777
716,1021.523668
717,3836.126251
718,321.6374039
719,4911.843527
720,3219.539197
721,0
722,486.3736162
723,655.6973317
724,2069.913122
725,2278.220732
726,2535.66552
727,291.5368079
728,384.2955194
729,0
730,663.3012915
731,592.8029961
732,2962.985927
733,596.0244603
734,255.5932861
735,742.5153648
736,4299.184765
737,1318.440863
738,0
739,0
740,710.7769096
741,0
742,0
743,1517.943909
744,592.3616249
745,0
746,0
747,0
748,5453.945109
749,0
750,2449.526069
751,1220.348016
752,224.5269804
753,3122.909553
754,897.9330668
755,620.3140062
756,0
757,2681.087175
758,1810.635459
759,1007.597264
760,0
761,443.7520051
762,1275.847182
763,1208.884097
764,0
765,1947.995352
766,0
767,0
768,2121.737869
769,979.6059958
770,2935.238503
771,158.6292536
772,1418.377844
773,330.1675286
774,981.9284713
775,0
776,0
777,917.7638098
778,0
779,0
780,641.0639016
781,1016.552617
782,0
783,6523.38539
784,1196.783831
785,2299.778174
786,0
787,3237.065632
788,0
789,1494.314711
790,0
791,0
792,0
793,0
794,1201.456123
795,3464.238922
796,0
797,3346.56854
798,3769.161899
799,3697.390209
800,0
801,0
802,210.6701274
803,0
804,510.1269265
805,3712.197962
806,2676.299997
807,1455.050209
808,413.330176
809,451.4583078
810,0
811,0
812,933.9637614
813,0
814,1636.86506
815,1817.896553
816,1825.358633
817,0
818,0
819,4284.770102
820,0
821,0
822,2060.592882
823,0
824,2746.615102
825,0
826,1655.717089
827,0
828,0
829,419.9253737
830,0
831,0
832,2026.120166
833,0
834,0
835,48.34450321
836,1012.71482
837,0
838,0
839,0
840,2240.481306
841,0
842,1376.985574
843,0
844,0
845,0
846,1057.267522
847,2306.837796
848,0
849,0
850,474.9090218
851,0
852,399.956851
853,0
854,0
855,0
856,0
857,2248.3308
858,1453.026385
859,1148.537693
860,0
861,3730.779558
862,2380.887216
863,393.1510604
864,0
865,2759.43508
866,1445.536241
867,0
868,0
869,0
870,0
871,0
872,1627.237716
873,222.0796955
874,0
875,990.9869038
876,748.7154306
877,693.3849796
878,0
879,390.5966896
880,0
881,768.6861
882,4686.849293
883,1776.959651
884,0
885,278.0275668
886,2782.602557
887,2644.971543
888,276.8411415
889,5361.298954
890,5932.78636
891,0
892,8757.846513
893,4804.403859
894,1944.949488
895,443.0217128
896,476.8723511
897,0
898,1490.989009
899,8205.391394
900,0
901,4006.438767
902,1948.335404
903,1308.818899
904,426.498272
905,0
906,1614.336361
907,0
908,0
909,1293.897309
910,0
911,304.0549286
912,0
913,1197.109934
914,1915.064548
915,1605.728541
916,0
917,0
918,4355.488181
919,2308.602204
920,0
921,1488.296671
922,963.5127796
923,0
924,0
925,0
926,2659.572432
927,7791.157218
928,1061.251051
929,0
930,0
931,0
932,0
933,0
934,0
935,1202.542738
936,838.9834843
937,1196.506657
938,1326.362762
939,3858.352489
940,0
941,0
942,0
943,0
944,3265.842826
945,1742.199542
946,2918.583984
947,2955.720854
948,1026.213932
949,2123.612528
950,177.1013553
951,0
952,0
953,0
954,628.1042533
955,2162.57898
956,0
957,3318.230152
958,1234.726383
959,0
960,0
961,318.4791266
962,317.1578166
963,1036.759843
964,318.2166023
965,956.5092461
966,1786.207469
967,4074.344628
968,3157.821336
969,0
970,371.9018946
971,1025.201311
972,802.8005123
973,275.0464229
974,1262.613542
975,1157.710892
976,1377.976023
977,0
978,0
979,0
980,5295.336997
981,0
982,250.227749
983,1695.055291
984,1353.546928
985,2363.959418
986,2811.235578
987,740.8438936
988,0
989,56.16002369
990,0
991,0
992,0
993,694.4824821
994,0
995,2130.531611
996,1651.128164
997,0
998,4794.201929
999,0
1000,903.7901579
1001,6795.554163
1002,0
1003,534.0033065
1004,0
1005,1671.0047
1006,4836.365605
1007,0
1008,643.015607
1009,1428.615141
1010,1603.060994
1011,2216.312571
1012,0
1013,3785.166974
1014,0
1015,0
1016,0
1017,0
1018,1718.484474
1019,0
1020,668.3575177
1021,0
1022,0
1023,508.6440171
1024,0
1025,0
1026,1659.23472
1027,0
1028,2347.030925
1029,1303.508166
1030,0
1031,0
1032,0
1033,221.1350231
1034,1340.771381
1035,0
1036,1966.868821
1037,0
1038,0
1039,608.4529117
1040,0
1041,3411.960463
1042,0
1043,0
1044,1925.729684
1045,1387.099876
1046,4471.930478
1047,1305.815104
1048,0
1049,1008.651709
1050,422.1475624
1051,0
1052,1505.03142
1053,0
1054,1192.660926
1055,2622.527725
1056,0
1057,1719.632611
1058,0
1059,2226.684254
1060,1492.78622
1061,799.6693831
1062,0
1063,2493.901195
1064,0
1065,0
1066,303.015817
1067,0
1068,0
1069,292.4935164
1070,0
1071,0
1072,817.7601144
1073,2135.745508
1074,1408.16124
1075,878.1459216
1076,486.8741612
1077,0
1078,533.6567053
1079,0
1080,5109.330579
1081,3260.531528
1082,2226.440245
1083,0
1084,1013.460533
1085,353.7826645
1086,0
1087,762.9800809
1088,0
1089,2167.100718
1090,0
1091,1697.437636
1092,2070.718229
1093,3956.729535
1094,0
1095,0
1096,827.8979579
1097,49.70642989
1098,2461.713472
1099,1550.546063
1100,0
1101,2167.705401
1102,0
1103,1406.26404
1104,2151.709466
1105,2234.624977
1106,0
1107,0
1108,0
1109,4925.205031
1110,0
1111,519.6658714
1112,0
1113,3050.437742
1114,3929.11405
1115,0
1116,291.5196655
1117,0
1118,1511.105105
1119,0
1120,0
1121,4489.61009
1122,611.6854704
1123,0
1124,0
1125,0
1126,0
1127,5583.139074
1128,0
1129,764.9019229
1130,1504.425272
1131,0
1132,1341.514646
1133,1477.190879
1134,0
1135,116.5851626
1136,0
1137,86.5910506
1138,841.4853384
1139,979.8166179
1140,0
1141,873.6784289
1142,0
1143,0
1144,71.27364244
1145,0
1146,1393.046909
1147,0
1148,0
1149,0
1150,723.2715572
1151,890.8140505
1152,0
1153,4044.871615
1154,705.0366077
1155,0
1156,412.8244717
1157,2827.37715
1158,5515.755186
1159,1140.55707
1160,0
1161,2054.521298
1162,1194.301004
1163,652.6943067
1164,0
1165,729.8017925
1166,750.4407203
1167,2155.481894
1168,0
1169,0
1170,0
1171,1735.023565
1172,1891.490371
1173,2090.746307
1174,2254.794091
1175,2132.429346
1176,915.4371037
1177,0
1178,0
1179,4623.44448
1180,1007.167055
1181,0
1182,0
1183,1441.457698
1184,0
1185,3804.93697
1186,767.2413592
1187,298.1005884
1188,2559.508545
1189,1412.941359
1190,440.739562
1191,627.7136771
1192,0
1193,821.0669334
1194,3373.780766
1195,265.1075766
1196,742.0920558
1197,0
1198,2463.478485
1199,0
1200,1956.368602
1201,0
1202,226.782153
1203,4329.711634
1204,0
1205,0
1206,500.8702818
1207,2132.963037
1208,4837.94975
1209,0
1210,2033.514775
1211,2115.619795
1212,0
1213,0
1214,7110.485682
1215,678.5711993
1216,0
1217,0
1218,0
1219,2829.698067
1220,349.1427381
1221,0
1222,311.7752909
1223,900.8318976
1224,3010.259454
1225,1409.639589
1226,0
1227,3409.812814
1228,3904.087451
1229,0
1230,0
1231,1410.663416
1232,1787.187771
1233,2175.607626
1234,171.0447823
1235,308.7034245
1236,2830.224764
1237,0
1238,2765.463801
1239,0
1240,542.5566009
1241,0
1242,3209.579989
1243,619.0164233
1244,610.8401131
1245,0
1246,760.7064141
1247,0
1248,0
1249,1554.746385
1250,0
1251,0
1252,3157.389041
1253,5370.501337
1254,851.1167225
1255,0
1256,0
1257,1191.410289
1258,0
1259,2004.27545
1260,0
1261,724.399353
1262,4614.807952
1263,252.6698509
1264,957.8662282
1265,1626.303588
1266,871.0197357
1267,0
1268,431.6796737
1269,5515.901082
1270,1118.151048
1271,0
1272,619.3843597
1273,553.6241353
1274,1624.613735
1275,7971.969168
1276,0
1277,1869.203748
1278,0
1279,0
1280,0
1281,1483.087522
1282,1138.705143
1283,0
1284,2123.211214
1285,0
1286,0
1287,0
1288,4744.130804
1289,0
1290,677.882093
1291,0
1292,0
1293,2979.852317
1294,0
1295,0
1296,0
1297,1739.621698
1298,0
1299,545.9569296
1300,6361.703579
1301,1916.97874
1302,1602.268638
1303,4472.112078
1304,0
1305,3073.114175
1306,2575.923017
1307,0
1308,1529.858667
1309,0
1310,654.0335533
1311,0
1312,1173.477568
1313,908.4915804
1314,681.8612039
1315,0
1316,0
1317,972.3366466
1318,5766.192538
1319,0
1320,318.3332159
1321,3209.296765
1322,4225.535726
1323,322.2259365
1324,0
1325,2284.865139
1326,3315.829445
1327,0
1328,220.4044601
1329,1038.20222
1330,0
1331,6192.516557
1332,508.6580957
1333,0
1334,0
1335,1851.66954
1336,1212.385316
1337,0
1338,0
1339,1011.877134
1340,5483.173489
1341,0
1342,0
1343,0
1344,3608.315543
1345,5211.721448
1346,3152.501709
1347,1537.409492
1348,1929.477052
1349,0
1350,444.9992023
1351,554.6648948
1352,2007.146439
1353,4965.814671
1354,2705.744264
1355,3841.331461
1356,0
1357,0
1358,1915.108549
1359,4309.31055
1360,0
1361,2731.053375
1362,0
1363,1743.375578
1364,2485.276665
1365,2152.383903
1366,263.2456948
1367,0
1368,3345.331276
1369,1689.785657
1370,2948.446687
1371,0
1372,3546.914391
1373,0
1374,0
1375,849.5488142
1376,0
1377,0
1378,0
1379,725.0229092
1380,646.453104
1381,0
1382,1525.156439
1383,176.44983
1384,776.5481707
1385,519.1324584
1386,0
1387,777.613392
1388,0
1389,0
1390,0
1391,2745.482468
1392,923.4724057
1393,1031.828363
1394,949.5836663
1395,1462.708763
1396,0
1397,652.394503
1398,0
1399,2828.261609
1400,0
1401,0
1402,596.2158429
1403,0
1404,722.0531091
1405,5079.273489
1406,0
1407,0
1408,4473.894322
1409,2172.632133
1410,534.8793996
1411,2639.456083
1412,1829.839071
1413,2261.199516
1414,2926.236883
1415,899.3711238
1416,475.9840566
1417,2222.132338
1418,0
1419,0
1420,428.9024852
1421,0
1422,2241.627442
1423,0
1424,1443.436029
1425,0
1426,3164.940702
1427,0
1428,4169.871075
1429,0
1430,0
1431,4427.00205
1432,0
1433,1012.25426
1434,1659.729958
1435,3739.663515
1436,827.6390755
1437,0
1438,922.6775513
1439,3026.744849
1440,1123.089166
1441,2189.39321
1442,951.6614534
1443,935.0310613
1444,0
1445,0
1446,0
1447,0
1448,2306.741593
1449,0
1450,4625.024629
1451,0
1452,2007.645441
1453,0
1454,0
1455,1669.185164
1456,2952.122222
1457,385.9927164
1458,1057.138226
1459,2189.011271
1460,930.2344496
1461,1619.099178
1462,2342.114079
1463,0
1464,643.3334162
1465,1251.500712
1466,0
1467,0
1468,90.30034539
1469,1519.6015
1470,0
1471,0
1472,0
1473,0
1474,3096.274014
1475,3087.948605
1476,0
1477,3790.740312
1478,987.8214783
1479,0
1480,0
1481,0
1482,3275.897172
1483,3353.784405
1484,215.2889536
1485,2551.065856
1486,944.741021
1487,1507.585757
1488,3964.087558
1489,0
1490,0
1491,1955.702309
1492,1642.488306
1493,603.8554378
1494,0
1495,266.3427082
1496,5372.952268
1497,0
1498,2961.782537
1499,540.9066872
1500,0
1501,0
1502,0
1503,10065.44064
1504,1450.235547
1505,798.107827
1506,0
1507,0
1508,4701.734101
1509,0
1510,4229.726119
1511,2254.600258
1512,2043.213247
1513,608.349871
1514,0
1515,7493.931198
1516,1090.147264
1517,2953.45689
1518,9354.311664
1519,886.9408431
1520,0
1521,0
1522,0
1523,597.3439092
1524,410.5919007
1525,2719.128292
1526,360.0224252
1527,2566.054438
1528,0
1529,0
1530,874.4114363
1531,524.4662229
1532,0
1533,1264.691894
1534,34.19715342
1535,352.224204
1536,1003.94046
1537,1029.385921
1538,2460.091426
1539,0
1540,1337.314032
1541,0
1542,0
1543,0
1544,0
1545,0
1546,2181.403802
1547,4779.124628
1548,0
1549,592.791213
1550,401.5114182
1551,0
1552,673.5018457
1553,1086.748476
1554,0
1555,1856.664771
1556,583.3734205
1557,188.9183755
1558,1387.306883
1559,3113.467464
1560,2217.778946
1561,0
1562,0
1563,2078.691683
1564,1298.371581
1565,2386.066046
1566,459.1427839
1567,810.1856506
1568,2669.776775
1569,752.05713
1570,0
1571,1787.736921
1572,3642.768115
1573,1161.91546
1574,0
1575,1677.839238
1576,1207.990656
1577,0
1578,343.3572627
1579,0
1580,342.326765
1581,0
1582,190.4561573
1583,0
1584,0
1585,150.4777193
1586,0
1587,714.271428
1588,1732.505576
1589,2967.112218
1590,0
1591,0
1592,385.8829283
1593,835.7155443
1594,399.8520803
1595,2742.964669
1596,1088.009077
1597,0
1598,102.514353
1599,4669.936347
1600,607.637308
1601,0
1602,309.3894564
1603,0
1604,3189.201036
1605,2681.270499
1606,1435.865863
1607,307.7566522
1608,306.6126076
1609,3932.939589
1610,1692.050488
1611,4148.602479
1612,2429.204185
1613,0
1614,0
1615,321.0545681
1616,0
1617,4500.615799
1618,0
1619,5642.846625
1620,0
1621,1716.118063
1622,1174.1324
1623,2410.240422
1624,0
1625,417.1144802
1626,2129.571635
1627,3333.232397
1628,2592.632992
1629,2884.970391
1630,2123.50685
1631,2634.571982
1632,515.4545565
1633,475.7425901
1634,301.7402554
1635,0
1636,0
1637,1499.710809
1638,0
1639,480.5498231
1640,0
1641,0
1642,2431.039711
1643,4020.120673
1644,1869.811482
1645,0
1646,3625.507335
1647,0
1648,0
1649,0
1650,0
1651,1156.288716
1652,886.4069394
1653,6087.468551
1654,1625.754196
1655,0
1656,0
1657,3721.572796
1658,0
1659,278.6837259
1660,717.6711064
1661,0
1662,2320.655567
1663,0
1664,3293.09169
1665,0
1666,0
1667,0
1668,0
1669,1539.095377
1670,0
1671,759.6148962
1672,0
1673,61.11978727
1674,0
1675,1925.256549
1676,0
1677,0
1678,8333.142884
1679,1779.078577
1680,0
1681,404.8776973
1682,0
1683,1337.25671
1684,2966.054613
1685,2001.398441
1686,3788.492777
1687,0
1688,2222.164942
1689,4113.660383
1690,401.1828441
1691,764.5498709
1692,3777.668075
1693,574.3900613
1694,1012.453647
1695,2507.668709
1696,917.918909
1697,0
1698,2013.46286
1699,0
1700,196.413884
1701,1294.447401
1702,0
1703,789.9812594
1704,0
1705,0
1706,0
1707,3726.286507
1708,0
1709,0
1710,0
1711,0
1712,3106.754809
1713,3846.613549
1714,101.1245835
1715,0
1716,554.4964213
1717,0
1718,503.90249
1719,1689.865662
1720,1812.486416
1721,1051.575194
1722,1083.98372
1723,1794.279074
1724,1581.717993
1725,1025.665316
1726,1805.977301
1727,1700.84436
1728,0
1729,0
1730,3262.081089
1731,5703.296458
1732,0
1733,1707.682848
1734,0
1735,1265.187898
1736,0
1737,0
1738,590.5524541
1739,772.7255875
1740,932.370188
1741,0
1742,0
1743,0
1744,358.3811101
1745,1561.151751
1746,4210.646217
1747,107.2119733
1748,0
1749,0
1750,741.6337025
1751,445.8704024
1752,0
1753,3238.55948
1754,0
1755,375.5652802
1756,352.3488027
1757,62.04523369
1758,1721.885368
1759,3442.276159
1760,621.7588625
1761,950.0751011
1762,0
1763,1725.988897
1764,3200.40053
1765,4421.243094
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,1600.653645
1773,0
1774,1987.122378
1775,0
1776,2327.609986
1777,3356.655764
1778,1618.711369
1779,0
1780,2241.95
1781,488.505398
1782,2257.613573
1783,744.1365303
1784,0
1785,0
1786,1334.386248
1787,4680.489269
1788,2221.29266
1789,12762.09809
1790,1396.957432
1791,0
1792,0
1793,907.0451683
1794,0
1795,0
1796,0
1797,0
1798,4710.357554
1799,1362.051198
1800,0
1801,0
1802,530.8731266
1803,0
1804,0
1805,1310.719261
1806,0
1807,0
1808,497.5645782
1809,0
1810,6881.532328
1811,0
1812,0
1813,0
1814,0
1815,526.4769528
1816,3555.109437
1817,0
1818,235.4448296
1819,999.9887422
1820,0
1821,0
1822,4339.843116
1823,0
1824,4366.069354
1825,0
1826,0
1827,3384.815383
1828,4568.704846
1829,565.9900059
1830,0
1831,0
1832,2288.29019
1833,3049.784173
1834,825.0733679
1835,0
1836,0
1837,0
1838,1779.753986
1839,0
1840,5516.487587
1841,2724.233277
1842,2772.346195
1843,3068.903233
1844,0
1845,0
1846,0
1847,522.2778934
1848,34.14846733
1849,1703.202084
1850,2262.698473
1851,0
1852,1709.430913
1853,3552.044076
1854,2735.016127
1855,906.8562511
1856,0
1857,0
1858,2091.780458
1859,0
1860,5903.9597
1861,667.4546165
1862,1776.14747
1863,649.4311051
1864,0
1865,2733.1989
1866,0
1867,2612.924831
1868,2532.679761
1869,0
1870,0
1871,0
1872,1326.287014
1873,0
1874,0
1875,0
1876,0
1877,3041.305477
1878,830.0711778
1879,0
1880,0
1881,758.3823107
1882,647.2930748
1883,0
1884,0
1885,2313.60794
1886,0
1887,1054.787055
1888,0
1889,1572.057573
1890,4920.171375
1891,484.5287417
1892,0
1893,1588.21546
1894,0
1895,0
1896,2029.068743
1897,0
1898,2444.669754
1899,2754.038316
1900,1699.215493
1901,1130.582112
1902,1941.591994
1903,0
1904,1005.779585
1905,0
1906,2437.968028
1907,0
1908,0
1909,0
1910,0
1911,222.4042716
1912,0
1913,102.6411034
1914,1661.080796
1915,2072.78187
1916,0
1917,6955.934713
1918,0
1919,0
1920,5286.79634
1921,0
1922,0
1923,713.8512221
1924,477.1029766
1925,3387.305564
1926,0
1927,0
1928,0
1929,207.695504
1930,2762.000994
1931,0
1932,0
1933,3298.124998
1934,0
1935,273.6447254
1936,890.3002553
1937,53.52778354
1938,1582.065081
1939,0
1940,1490.534089
1941,0
1942,0
1943,0
1944,0
1945,2012.114547
1946,0
1947,0
1948,3058.431149
1949,86.13075921
1950,0
1951,0
1952,45.64342054
1953,341.3695299
1954,0
1955,3617.528868
1956,0
1957,3056.053587
1958,0
1959,0
1960,4879.397607
1961,2054.49518
1962,974.5741558
1963,2276.719537
1964,1148.585198
1965,1070.651562
1966,2718.432959
1967,41.28289718
1968,480.753015
1969,0
1970,189.7112398
1971,2950.856039
1972,0
1973,3763.655435
1974,0
1975,1419.162261
1976,0
1977,600.1274075
1978,241.2067149
1979,2315.821734
1980,0
1981,318.3495927
1982,1712.539369
1983,1433.119532
1984,1058.655641
1985,5298.130868
1986,2245.284335
1987,0
1988,0
1989,0
1990,1574.682538
1991,0
1992,1487.116322
1993,892.3898556
1994,2661.376672
1995,0
1996,476.2542986
1997,295.4566491
1998,0
1999,544.9757311
2000,0
2001,0
2002,231.6923106
2003,767.8955694
2004,2279.420587
2005,0
2006,2217.269492
2007,2967.981207
2008,3399.189965
2009,3866.426042
2010,0
2011,0
2012,0
2013,2274.482646
2014,0
2015,2513.166954
2016,858.9409572
2017,388.0563574
2018,759.4133999
2019,0
